,Rank,Name,Name.1,Nation,Points,384,383,417,371,382,2001,event,gender,athlete_id
36,35,Jongeneelen,Wouter,NED,26.00,13. 26.00,,,,,2001,boulder,MEN,961
37,35,Son,Sangwon,KOR,26.00,,,,,13. 26.00,2001,boulder,MEN,3394
38,39,Schönenberger,Urs,SUI,25.00,21. 10.00,22. 9.00,25. 6.00,,,2001,boulder,MEN,933
39,40,Lee,Jae-Yong,KOR,22.00,,,,23. 8.00,19. 14.00,2001,boulder,MEN,432
40,41,Gaidioz,Loïc,FRA,21.00,,,28. 3.00,17. 18.00,,2001,boulder,MEN,5310
41,42,Legrand,François,FRA,20.00,16. 20.00,,,,,2001,boulder,MEN,266
42,43,Dutray,Mathieu,FRA,18.00,,,,,17. 18.00,2001,boulder,MEN,562
43,44,Bitcon,Ian,GBR,14.00,19. 14.00,,,,,2001,boulder,MEN,5362
44,44,Brunn,Manuel,GER,14.00,,,19. 14.00,,,2001,boulder,MEN,2091
45,44,Rant,Blaz,SLO,14.00,,19. 14.00,,,,2001,boulder,MEN,2578
46,44,Vedenmeer,Andrey,UKR,14.00,,,19. 14.00,,,2001,boulder,MEN,68
47,48,Gibson,Miles,GBR,12.00,20. 12.00,,,,,2001,boulder,MEN,3419
48,48,Giupponi,Luca,ITA,12.00,,,,20. 12.00,,2001,boulder,MEN,514
49,48,Vinokur,Vadim,USA,12.00,,,,,20. 12.00,2001,boulder,MEN,950
50,51,Douloub,Iouri,RUS,10.00,,,,21. 10.00,,2001,boulder,MEN,351
51,51,Miyabo,Yuji,JPN,10.00,,,,,21. 10.00,2001,boulder,MEN,5308
52,53,Chrastina,Andrej,SVK,9.00,,22. 9.00,,,,2001,boulder,MEN,16
53,54,Saatsi,Juha,FIN,8.00,23. 8.00,,,,,2001,boulder,MEN,453
54,55,Cseko,Arpad,HUN,7.00,,24. 7.00,,,,2001,boulder,MEN,19
55,55,Han,Jung-Hee,KOR,7.00,,24. 7.00,,,,2001,boulder,MEN,5353
56,55,Lampugnani,Diego,SUI,7.00,,24. 7.00,,,,2001,boulder,MEN,3591
57,55,Skoczylas,Dawid,POL,7.00,24. 7.00,,,,,2001,boulder,MEN,2650
58,59,Meikl,Alexander,AUT,6.00,,,30. 1.00,26. 5.00,,2001,boulder,MEN,43
59,59,Sanganas,Enrico,GER,6.00,,,25. 6.00,,,2001,boulder,MEN,237
60,61,Haager,Benedikt,GER,4.00,,,30. 1.00,28. 3.00,,2001,boulder,MEN,81
61,61,Teijsse,Dennis,NED,4.00,,,,27. 4.00,,2001,boulder,MEN,3068
62,63,Croxall,Mark,GBR,3.00,28. 3.00,,,,,2001,boulder,MEN,3423
63,64,Grom,Aljosa,SLO,2.00,29. 2.00,,,,,2001,boulder,MEN,30
64,64,Kryvosheytsev,Yevgen,UKR,2.00,,,,29. 2.00,,2001,boulder,MEN,227
65,64,Neuhaus,Thorsten,GER,2.00,,,29. 2.00,,,2001,boulder,MEN,905
66,67,Bingham,Richard,GBR,1.00,30. 1.00,,,,,2001,boulder,MEN,750
67,67,Lo Piccolo,Cédric,FRA,1.00,,,,,30. 1.00,2001,boulder,MEN,141
68,67,Poplavskiy,Stanislav,RUS,1.00,,,,30. 1.00,,2001,boulder,MEN,2631
